# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.global.apply.state.to.project.builder.ms,1756309970860000000,1756310032678000000,2
jps.module.iml.entities.serializer.load.entities.ms,1756309970860000000,1756310032678000000,48
workspaceModel.mutableEntityStorage.to.snapshot.ms,1756309970860000000,1756310032678000000,7
workspaceModel.mutableEntityStorage.remove.entity.ms,1756309970860000000,1756310032678000000,0
jps.apply.loaded.storage.ms,1756309970860000000,1756310032678000000,151
workspaceModel.moduleBridge.update.option.ms,1756309970860000000,1756310032678000000,0
workspaceModel.global.updates.ms,1756309970860000000,1756310032678000000,4
workspaceModel.mutableEntityStorage.resolve.ms,1756309970860000000,1756310032678000000,0
jps.save.changed.project.entities.ms,1756309970860000000,1756310032678000000,2
jps.global.get.libraries.ms,1756309970860000000,1756310032678000000,0
jps.global.get.library.by.name.ms,1756309970860000000,1756310032678000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1756309970860000000,1756310032678000000,404
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1756309970860000000,1756310032678000000,2
jps.storage.jps.conf.reader.load.component.ms,1756309970860000000,1756310032678000000,7
jps.save.global.entities.ms,1756309970860000000,1756310032678000000,4
jps.global.initialize.library.bridges.after.loading.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1756309970860000000,1756310032678000000,15
jps.artifact.entities.serializer.load.entities.ms,1756309970860000000,1756310032678000000,0
jps.reload.project.entities.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1756309970860000000,1756310032678000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1756309970860000000,1756310032678000000,0
jps.library.entities.serializer.load.entities.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1756309970860000000,1756310032678000000,80
jps.load.project.to.empty.storage.ms,1756309970860000000,1756310032678000000,182
workspaceModel.moduleManagerBridge.load.module.ms,1756309970860000000,1756310032678000000,0
workspaceModel.sync.entities.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1756309970860000000,1756310032678000000,0
jps.library.entities.serializer.save.entities.ms,1756309970860000000,1756310032678000000,0
jps.global.handle.changed.events.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1756309970860000000,1756310032678000000,1
jps.global.handle.before.change.events.ms,1756309970860000000,1756310032678000000,0
workspaceModel.do.save.caches.ms,1756309970860000000,1756310032678000000,172
workspaceModel.moduleBridge.before.changed.ms,1756309970860000000,1756310032678000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1756309970860000000,1756310032678000000,37
jps.facet.change.listener.init.bridge.ms,1756309970860000000,1756310032678000000,1
jps.module.iml.entities.serializer.save.entities.ms,1756309970860000000,1756310032678000000,0
workspaceModel.save.cache.to.file.ms,1756309970860000000,1756310032678000000,160
jps.project.serializers.save.ms,1756309970860000000,1756310032678000000,2
workspaceModel.global.updates.count,1756309970860000000,1756310032678000000,1
jps.global.get.library.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1756309970860000000,1756310032678000000,8
jps.app.storage.content.reader.load.component.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1756309970860000000,1756310032678000000,1
jps.app.storage.content.writer.save.component.ms,1756309970860000000,1756310032678000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1756309970860000000,1756310032678000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1756309970860000000,1756310032678000000,0
workspaceModel.orphan.listener.update.ms,1756309970860000000,1756310032678000000,4
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1756309970860000000,1756310032678000000,0
jps.load.initial.state.ms,1756309970860000000,1756310032678000000,15
workspaceModel.moduleManagerBridge.build.module.graph.ms,1756309970860000000,1756310032678000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1756309970860000000,1756310032678000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1756309970860000000,1756310032678000000,0
jps.facet.change.listener.process.change.events.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.entities.ms,1756309970860000000,1756310032678000000,2
workspaceModel.mutableEntityStorage.collect.changes.ms,1756309970860000000,1756310032678000000,3
workspaceModel.mutableEntityStorage.entities.by.source.ms,1756309970860000000,1756310032678000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1756309970860000000,1756310032678000000,21
jps.global.initialize.library.bridges.ms,1756309970860000000,1756310032678000000,1
workspaceModel.load.cache.from.file.ms,1756309970860000000,1756310032678000000,0
workspaceModel.global.apply.state.to.project.ms,1756309970860000000,1756310032678000000,3
workspaceModel.mutableEntityStorage.modify.entity.ms,1756309970860000000,1756310032678000000,0
workspaceModel.load.cache.metadata.from.file.ms,1756309970860000000,1756310032678000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1756309970860000000,1756310032678000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1756309970860000000,1756310032678000000,1
jps.project.serializers.load.ms,1756309970860000000,1756310032678000000,94
jps.artifact.entities.serializer.save.entities.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1756309970860000000,1756310032678000000,0
workspaceModel.mutableEntityStorage.instances.count,1756309970860000000,1756310032678000000,41
workspaceModel.moduleBridge.facet.initialization.ms,1756309970860000000,1756310032678000000,0
jps.facet.change.listener.before.change.events.ms,1756309970860000000,1756310032678000000,0
AWTEventQueue.dispatchTimeMaxNs,1756309970860000000,1756310032678000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1756309970860000000,1756310032678000000,1064904
FlushQueue.waitingTime90PNs,1756309970860000000,1756310032678000000,0
FlushQueue.queueSize90P,1756309970860000000,1756310032678000000,0
WriteAction.executionsCount,1756309970860000000,1756310032678000000,34
FlushQueue.tasksExecuted,1756309970860000000,1756310032678000000,0
AWTEventQueue.dispatchTimeTotalNS,1756309970860000000,1756310032678000000,3840461494
AWTEventQueue.eventsDispatched,1756309970860000000,1756310032678000000,0
FlushQueue.waitingTimeMaxNs,1756309970860000000,1756310032678000000,0
FlushQueue.queueSizeAvg,1756309970860000000,1756310032678000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1756309970860000000,1756310032678000000,0.0
FlushQueue.queueSizeMax,1756309970860000000,1756310032678000000,0
NonBlockingReadAction.finalizedExecutionsCount,1756309970860000000,1756310032678000000,34
AWTEventQueue.dispatchTime90PNs,1756309970860000000,1756310032678000000,0
FlushQueue.waitingTimeAvgNs,1756309970860000000,1756310032678000000,0.0
FlushQueue.executionTimeMaxNs,1756309970860000000,1756310032678000000,0
FlushQueue.executionTimeAvgNs,1756309970860000000,1756310032678000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1756309970860000000,1756310032678000000,309870
NonBlockingReadAction.failedExecutionsCount,1756309970860000000,1756310032678000000,5
FlushQueue.executionTime90PNs,1756309970860000000,1756310032678000000,0
ReadAction.executionsCount,1756309970860000000,1756310032678000000,233526
cacheStateStorage.get.duration,1756309970860000000,1756310032678000000,0
cacheStateStorage.set.counter,1756309970860000000,1756310032678000000,12
cacheStateStorage.get.counter,1756309970860000000,1756310032678000000,12
cacheStateStorage.set.duration,1756309970860000000,1756310032678000000,84
FilePageCache.capacityInBytes,1756309970860000000,1756310032678000000,629145600
FilePageCache.pageFastCacheHits,1756309970860000000,1756310032678000000,341848
FilePageCache.uncachedFileAccess,1756309970860000000,1756310032678000000,830
DirectByteBufferAllocator.misses,1756309970860000000,1756310032678000000,488
MappedFileStorage.totalTimeSpentOnMappingUs,1756309970860000000,1756310032678000000,5178715
DirectByteBufferAllocator.disposed,1756309970860000000,1756310032678000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1756309970860000000,1756310032678000000,511705088
FilePageCache.pageLoadsAboveSizeThreshold,1756309970860000000,1756310032678000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1756309970860000000,1756310032678000000,0
DirectByteBufferAllocator.reclaimed,1756309970860000000,1756310032678000000,3
StorageLockContext.competingThreads.max,1756309970860000000,1756310032678000000,0
StreamlinedBlobStorage.recordsDeleted,1756309970860000000,1756310032678000000,4
StreamlinedBlobStorage.recordsAllocated,1756309970860000000,1756310032678000000,1197
DirectByteBufferAllocator.hits,1756309970860000000,1756310032678000000,3
FilePageCache.maxCacheSizeInBytes,1756309970860000000,1756310032678000000,511705088
StorageLockContext.competingThreads.avg,1756309970860000000,1756310032678000000,0.0
StreamlinedBlobStorage.recordsRelocated,1756309970860000000,1756310032678000000,0
FilePageCache.pageLoads,1756309970860000000,1756310032678000000,491
StorageLockContext.competingThreads.90P,1756309970860000000,1756310032678000000,0
MappedFileStorage.totalBytesMapped,1756309970860000000,1756310032678000000,202637312
FilePageCache.maxRegisteredFiles,1756309970860000000,1756310032678000000,945
FilePageCache.totalPageDisposalsUs,1756309970860000000,1756310032678000000,1983
FilePageCache.pageHits,1756309970860000000,1756310032678000000,0
FilePageCache.totalPageLoadsUs,1756309970860000000,1756310032678000000,1151552
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1756309970860000000,1756310032678000000,158716
FileChannelInterruptsRetryer.totalRetriedAttempts,1756309970860000000,1756310032678000000,0
MappedFileStorage.totalPagesMapped,1756309970860000000,1756310032678000000,16
MappedFileStorage.storages,1756309970860000000,1756310032678000000,16
FilePageCache.disposedBuffers,1756309970860000000,1756310032678000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1756309970860000000,1756310032678000000,81913
JVM.totalBytesAllocated,1756309970860000000,1756310032678000000,5604827648
JVM.GC.collectionTimesMs,1756309970860000000,1756310032678000000,2283
JVM.totalTimeAtSafepointsMs,1756309970860000000,1756310032678000000,2644
MEM.ramPlusSwapMinusFileMappingsBytes,1756309970860000000,1756310032678000000,2002997248
OS.loadAverage,1756309970860000000,1756310032678000000,6.20166015625
MEM.fileMappingsRamBytes,1756309970860000000,1756310032678000000,535789568
MEM.ramMinusFileMappingsBytes,1756309970860000000,1756310032678000000,2002997248
JVM.usedHeapBytes,1756309970860000000,1756310032678000000,512959008
MEM.ramBytes,1756309970860000000,1756310032678000000,2538786816
JVM.newThreadsCount,1756309970860000000,1756310032678000000,138
JVM.usedNativeBytes,1756309970860000000,1756310032678000000,398087656
JVM.maxHeapBytes,1756309970860000000,1756310032678000000,5800722432
JVM.totalCpuTimeMs,1756309970860000000,1756310032678000000,173710
JVM.totalTimeToSafepointsMs,1756309970860000000,1756310032678000000,1477
JVM.totalDirectByteBuffersBytes,1756309970860000000,1756310032678000000,530122664
JVM.committedHeapBytes,1756309970860000000,1756310032678000000,834666496
JVM.threadCount,1756309970860000000,1756310032678000000,114
JVM.totalSafepointCount,1756309970860000000,1756310032678000000,271
JVM.GC.collections,1756309970860000000,1756310032678000000,57
JVM.maxThreadCount,1756309970860000000,1756310032678000000,116
Indexes.entries.lookupDuration90PMs,1756309970860000000,1756310032678000000,0.0
Indexes.allKeys.lookupDuration90PMs,1756309970860000000,1756310032678000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1756309970860000000,1756310032678000000,571
Indexes.allKeys.lookupDurationAvgMs,1756309970860000000,1756310032678000000,0.0
Indexes.stubs.lookupDurationAvgMs,1756309970860000000,1756310032678000000,0.0
Indexing.cache.totalCacheEvicted,1756309970860000000,1756310032678000000,156662
Indexes.entries.lookupDurationMaxMs,1756309970860000000,1756310032678000000,0.0
Indexes.entries.lookups,1756309970860000000,1756310032678000000,474
Indexes.stubs.lookupDuration90PMs,1756309970860000000,1756310032678000000,0.0
Indexing.cache.totalCacheAccesses,1756309970860000000,1756310032678000000,1625160
Indexes.allKeys.lookups,1756309970860000000,1756310032678000000,2
Indexing.writesQueuedMin,1756309970860000000,1756310032678000000,9223372036854775807
Indexes.stubs.lookupDurationMaxMs,1756309970860000000,1756310032678000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1756309970860000000,1756310032678000000,0.0
Indexes.entries.lookupDurationAvgMs,1756309970860000000,1756310032678000000,0.0
Indexing.totalTimeIndexersSleptMs,1756309970860000000,1756310032678000000,0
Indexing.writesQueuedMax,1756309970860000000,1756310032678000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1756309970860000000,1756310032678000000,1197
Indexing.writer_0.totalTimeSpentWritingMs,1756309970860000000,1756310032678000000,1096
Indexes.stubs.lookups,1756309970860000000,1756310032678000000,1806
Indexing.writer_3.totalTimeSpentWritingMs,1756309970860000000,1756310032678000000,896
Indexing.cache.totalCacheMisses,1756309970860000000,1756310032678000000,157970
workspaceModel.init.bridges.ms,1756309970860000000,1756310032678000000,5
workspaceModel.on.before.changed.ms,1756309970860000000,1756310032678000000,82
workspaceModel.initializing.ms,1756309970860000000,1756310032678000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1756309970860000000,1756310032678000000,0
workspaceModel.cachedValue.total.get.count,1756309970860000000,1756310032678000000,119
workspaceModel.cachedValue.calculated.count,1756309970860000000,1756310032678000000,22
workspaceModel.replace.project.model.ms,1756309970860000000,1756310032678000000,0
