# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
lexer.IgnoreLang.time.ns,1756309010667000000,1756309069215000000,175872
parser.TypeScript.JSX.size.bytes,1756309010667000000,1756309069215000000,1540031
parser.JSRegexp.size.bytes,1756309010667000000,1756309069215000000,21
parser.CSS.time.ns,1756309010667000000,1756309069215000000,854145440
lexer.JSRegexp.time.ns,1756309010667000000,1756309069215000000,255281
lexer.CSS.time.ns,1756309010667000000,1756309069215000000,364321664
parser.RELAX-NG.time.ns,1756309010667000000,1756309069215000000,23131239
lexer.TypeScript.JSX.size.bytes,1756309010667000000,1756309069215000000,774314
writeAction.max.wait.ms,1756309010667000000,1756309069215000000,246
lexer.JQuery-CSS.size.bytes,1756309010667000000,1756309069215000000,660
lexer.JSRegexp.size.bytes,1756309010667000000,1756309069215000000,21
lexer.IgnoreLang.size.bytes,1756309010667000000,1756309069215000000,505
parser.TypeScript.size.bytes,1756309010667000000,1756309069215000000,3384867
lexer.TypeScript.time.ns,1756309010667000000,1756309069215000000,245829209
parser.XML.size.bytes,1756309010667000000,1756309069215000000,861415
parser.Flow.JS.size.bytes,1756309010667000000,1756309069215000000,140172
lexer.HTML.size.bytes,1756309010667000000,1756309069215000000,16827165
lexer.JSON.time.ns,1756309010667000000,1756309069215000000,44272272
lexer.JSON.size.bytes,1756309010667000000,1756309069215000000,1460593
parser.TypeScript.time.ns,1756309010667000000,1756309069215000000,1069323627
parser.GenericSQL.time.ns,1756309010667000000,1756309069215000000,1610305087
lexer.RELAX-NG.time.ns,1756309010667000000,1756309069215000000,1438306
writeAction.wait.ms,1756309010667000000,1756309069215000000,427
parser.RELAX-NG.size.bytes,1756309010667000000,1756309069215000000,117
lexer.TypeScript.size.bytes,1756309010667000000,1756309069215000000,3295885
lexer.ECMAScript.6.time.ns,1756309010667000000,1756309069215000000,90057777
lexer.SCSS.time.ns,1756309010667000000,1756309069215000000,10068542
parser.Flow.JS.time.ns,1756309010667000000,1756309069215000000,764671372
parser.IgnoreLang.time.ns,1756309010667000000,1756309069215000000,13872498
lexer.TypeScript.JSX.time.ns,1756309010667000000,1756309069215000000,56310058
DiskQueryRelay.taskExecutionTotalTimeUs,1756309010667000000,1756309069215000000,40678627
lexer.Flow.JS.time.ns,1756309010667000000,1756309069215000000,37849295
lexer.SCSS.size.bytes,1756309010667000000,1756309069215000000,21698
parser.JQuery-CSS.time.ns,1756309010667000000,1756309069215000000,2830997
parser.IgnoreLang.size.bytes,1756309010667000000,1756309069215000000,505
lexer.CSS.size.bytes,1756309010667000000,1756309069215000000,3323108
lexer.Flow.JS.size.bytes,1756309010667000000,1756309069215000000,140172
DiskQueryRelay.tasksRequested,1756309010667000000,1756309069215000000,5409
parser.TypeScript.JSX.time.ns,1756309010667000000,1756309069215000000,291736488
parser.CSS.size.bytes,1756309010667000000,1756309069215000000,3323108
DiskQueryRelay.taskWaitingTotalTimeUs,1756309010667000000,1756309069215000000,41291772
parser.textmate.time.ns,1756309010667000000,1756309069215000000,261638
parser.HTML.time.ns,1756309010667000000,1756309069215000000,2915180132
parser.JSON.time.ns,1756309010667000000,1756309069215000000,526011520
parser.XML.time.ns,1756309010667000000,1756309069215000000,125860747
parser.JQuery-CSS.size.bytes,1756309010667000000,1756309069215000000,660
lexer.yaml.size.bytes,1756309010667000000,1756309069215000000,2633
lexer.GenericSQL.time.ns,1756309010667000000,1756309069215000000,28813315
parser.HTML.size.bytes,1756309010667000000,1756309069215000000,16827165
lexer.RELAX-NG.size.bytes,1756309010667000000,1756309069215000000,117
lexer.textmate.size.bytes,1756309010667000000,1756309069215000000,311085
lexer.HTML.time.ns,1756309010667000000,1756309069215000000,2351800260
writeAction.count,1756309010667000000,1756309069215000000,36
parser.ECMAScript.6.size.bytes,1756309010667000000,1756309069215000000,6751926
lexer.XML.size.bytes,1756309010667000000,1756309069215000000,861415
lexer.ECMAScript.6.size.bytes,1756309010667000000,1756309069215000000,1868227
parser.yaml.time.ns,1756309010667000000,1756309069215000000,2955102
writeAction.median.wait.ms,1756309010667000000,1756309069215000000,400
lexer.JQuery-CSS.time.ns,1756309010667000000,1756309069215000000,382972
lexer.textmate.time.ns,1756309010667000000,1756309069215000000,66772
lexer.yaml.time.ns,1756309010667000000,1756309069215000000,1155531
parser.JSON.size.bytes,1756309010667000000,1756309069215000000,1460593
parser.JSRegexp.time.ns,1756309010667000000,1756309069215000000,665682
parser.ECMAScript.6.time.ns,1756309010667000000,1756309069215000000,1140344933
DiskQueryRelay.tasksExecuted,1756309010667000000,1756309069215000000,5409
parser.textmate.size.bytes,1756309010667000000,1756309069215000000,311085
lexer.GenericSQL.size.bytes,1756309010667000000,1756309069215000000,18892
parser.SCSS.time.ns,1756309010667000000,1756309069215000000,166216273
parser.GenericSQL.size.bytes,1756309010667000000,1756309069215000000,27230
parser.yaml.size.bytes,1756309010667000000,1756309069215000000,2633
parser.SCSS.size.bytes,1756309010667000000,1756309069215000000,21698
lexer.XML.time.ns,1756309010667000000,1756309069215000000,55110708
Indexes.stubs.lookupDurationMaxMs,1756309010667000000,1756309069215000000,0.0
Indexing.writesQueuedAvg,1756309010667000000,1756309069215000000,0.0
Indexing.totalTimeIndexersSleptMs,1756309010667000000,1756309069215000000,0
Indexes.allKeys.lookupDuration90PMs,1756309010667000000,1756309069215000000,0.0
Indexing.cache.totalCacheMisses,1756309010667000000,1756309069215000000,160124
Indexes.entries.lookupDurationMaxMs,1756309010667000000,1756309069215000000,0.0
Indexes.allKeys.lookups,1756309010667000000,1756309069215000000,2
Indexing.writer_0.totalTimeSpentWritingMs,1756309010667000000,1756309069215000000,1478
Indexes.stubs.lookups,1756309010667000000,1756309069215000000,11294
Indexes.stubs.lookupDurationAvgMs,1756309010667000000,1756309069215000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1756309010667000000,1756309069215000000,1377
Indexes.allKeys.lookupDurationAvgMs,1756309010667000000,1756309069215000000,0.0
Indexing.cache.totalCacheEvicted,1756309010667000000,1756309069215000000,156997
Indexing.writer_2.totalTimeSpentWritingMs,1756309010667000000,1756309069215000000,772
Indexing.writer_3.totalTimeSpentWritingMs,1756309010667000000,1756309069215000000,987
Indexes.entries.lookupDurationAvgMs,1756309010667000000,1756309069215000000,0.0
Indexing.cache.totalCacheAccesses,1756309010667000000,1756309069215000000,1614977
Indexes.entries.lookupDuration90PMs,1756309010667000000,1756309069215000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1756309010667000000,1756309069215000000,0.0
Indexing.writesQueuedMin,1756309010667000000,1756309069215000000,0
Indexing.writesQueuedMax,1756309010667000000,1756309069215000000,0
Indexes.entries.lookups,1756309010667000000,1756309069215000000,2103
Indexes.stubs.lookupDuration90PMs,1756309010667000000,1756309069215000000,0.0
jps.global.get.libraries.ms,1756309010667000000,1756309069215000000,0
jps.artifact.entities.serializer.load.entities.ms,1756309010667000000,1756309069215000000,0
workspaceModel.load.cache.from.file.ms,1756309010667000000,1756309069215000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1756309010667000000,1756309069215000000,2
