# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writer_1.totalTimeSpentWritingMs,1756310061758000000,1756310121565000000,0
Indexing.cache.totalCacheMisses,1756310061758000000,1756310121565000000,0
Indexing.cache.totalCacheAccesses,1756310061758000000,1756310121565000000,0
Indexing.writesQueuedMin,1756310061758000000,1756310121565000000,9223372036854775807
Indexing.cache.totalCacheEvicted,1756310061758000000,1756310121565000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1756310061758000000,1756310121565000000,0
Indexing.totalTimeIndexersSleptMs,1756310061758000000,1756310121565000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1756310061758000000,1756310121565000000,0
Indexing.writesQueuedMax,1756310061758000000,1756310121565000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1756310061758000000,1756310121565000000,0
writeAction.wait.ms,1756310061758000000,1756310121565000000,1254
DiskQueryRelay.tasksRequested,1756310061758000000,1756310121565000000,1265
DiskQueryRelay.taskExecutionTotalTimeUs,1756310061758000000,1756310121565000000,31416788
parser.JSON.time.ns,1756310061758000000,1756310121565000000,63515464
lexer.JSON.size.bytes,1756310061758000000,1756310121565000000,3203
writeAction.count,1756310061758000000,1756310121565000000,23
DiskQueryRelay.tasksExecuted,1756310061758000000,1756310121565000000,1265
writeAction.max.wait.ms,1756310061758000000,1756310121565000000,674
lexer.JSON.time.ns,1756310061758000000,1756310121565000000,12089808
DiskQueryRelay.taskWaitingTotalTimeUs,1756310061758000000,1756310121565000000,32788276
parser.JSON.size.bytes,1756310061758000000,1756310121565000000,3203
writeAction.median.wait.ms,1756310061758000000,1756310121565000000,700
jps.reload.project.entities.ms,1756310061758000000,1756310121565000000,0
jps.global.handle.before.change.events.ms,1756310061758000000,1756310121565000000,0
jps.global.initialize.library.bridges.after.loading.ms,1756310061758000000,1756310121565000000,1
workspaceModel.moduleBridge.before.changed.ms,1756310061758000000,1756310121565000000,0
workspaceModel.global.updates.ms,1756310061758000000,1756310121565000000,6
workspaceModel.load.cache.metadata.from.file.ms,1756310061758000000,1756310121565000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1756310061758000000,1756310121565000000,0
workspaceModel.save.cache.to.file.ms,1756310061758000000,1756310121565000000,1177
workspaceModel.mutableEntityStorage.entities.by.source.ms,1756310061758000000,1756310121565000000,1
workspaceModel.mutableEntityStorage.instances.count,1756310061758000000,1756310121565000000,41
jps.artifact.entities.serializer.save.entities.ms,1756310061758000000,1756310121565000000,0
jps.save.changed.project.entities.ms,1756310061758000000,1756310121565000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1756310061758000000,1756310121565000000,0
workspaceModel.sync.entities.ms,1756310061758000000,1756310121565000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1756310061758000000,1756310121565000000,10
jps.project.serializers.save.ms,1756310061758000000,1756310121565000000,0
jps.load.initial.state.ms,1756310061758000000,1756310121565000000,82
workspaceModel.mutableEntityStorage.entities.ms,1756310061758000000,1756310121565000000,0
jps.project.serializers.load.ms,1756310061758000000,1756310121565000000,308
workspaceModel.moduleBridge.update.option.ms,1756310061758000000,1756310121565000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1756310061758000000,1756310121565000000,64
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1756310061758000000,1756310121565000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1756310061758000000,1756310121565000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1756310061758000000,1756310121565000000,0
workspaceModel.orphan.listener.update.ms,1756310061758000000,1756310121565000000,9
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1756310061758000000,1756310121565000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1756310061758000000,1756310121565000000,25
workspaceModel.global.apply.state.to.project.builder.ms,1756310061758000000,1756310121565000000,20
jps.global.initialize.library.bridges.ms,1756310061758000000,1756310121565000000,2
jps.facet.change.listener.process.change.events.ms,1756310061758000000,1756310121565000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1756310061758000000,1756310121565000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1756310061758000000,1756310121565000000,0
jps.artifact.entities.serializer.load.entities.ms,1756310061758000000,1756310121565000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1756310061758000000,1756310121565000000,240
workspaceModel.global.apply.state.to.project.ms,1756310061758000000,1756310121565000000,4
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1756310061758000000,1756310121565000000,3
jps.global.get.libraries.ms,1756310061758000000,1756310121565000000,9
workspaceModel.load.cache.from.file.ms,1756310061758000000,1756310121565000000,0
jps.apply.loaded.storage.ms,1756310061758000000,1756310121565000000,421
workspaceModel.moduleManagerBridge.load.all.modules.ms,1756310061758000000,1756310121565000000,110
workspaceModel.mutableEntityStorage.put.entity.ms,1756310061758000000,1756310121565000000,82
workspaceModel.mutableEntityStorage.collect.changes.ms,1756310061758000000,1756310121565000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1756310061758000000,1756310121565000000,0
jps.save.global.entities.ms,1756310061758000000,1756310121565000000,0
jps.module.iml.entities.serializer.save.entities.ms,1756310061758000000,1756310121565000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1756310061758000000,1756310121565000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1756310061758000000,1756310121565000000,25
workspaceModel.global.updates.count,1756310061758000000,1756310121565000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1756310061758000000,1756310121565000000,1345
jps.facet.change.listener.init.bridge.ms,1756310061758000000,1756310121565000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1756310061758000000,1756310121565000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1756310061758000000,1756310121565000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1756310061758000000,1756310121565000000,0
jps.module.iml.entities.serializer.load.entities.ms,1756310061758000000,1756310121565000000,190
jps.library.entities.serializer.load.entities.ms,1756310061758000000,1756310121565000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1756310061758000000,1756310121565000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1756310061758000000,1756310121565000000,0
jps.global.handle.changed.events.ms,1756310061758000000,1756310121565000000,0
jps.storage.jps.conf.reader.load.component.ms,1756310061758000000,1756310121565000000,49
workspaceModel.mutableEntityStorage.modify.entity.ms,1756310061758000000,1756310121565000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1756310061758000000,1756310121565000000,0
jps.app.storage.content.reader.load.component.ms,1756310061758000000,1756310121565000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1756310061758000000,1756310121565000000,34
workspaceModel.moduleManagerBridge.create.module.instance.ms,1756310061758000000,1756310121565000000,0
jps.global.get.library.by.name.ms,1756310061758000000,1756310121565000000,0
jps.library.entities.serializer.save.entities.ms,1756310061758000000,1756310121565000000,0
jps.load.project.to.empty.storage.ms,1756310061758000000,1756310121565000000,721
jps.global.get.library.ms,1756310061758000000,1756310121565000000,0
workspaceModel.do.save.caches.ms,1756310061758000000,1756310121565000000,1324
jps.facet.change.listener.before.change.events.ms,1756310061758000000,1756310121565000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1756310061758000000,1756310121565000000,1902973
FlushQueue.waitingTimeAvgNs,1756310061758000000,1756310121565000000,0.0
FlushQueue.queueSize90P,1756310061758000000,1756310121565000000,0
FlushQueue.tasksExecuted,1756310061758000000,1756310121565000000,0
NonBlockingReadAction.finalizedExecutionsCount,1756310061758000000,1756310121565000000,7
AWTEventQueue.dispatchTimeTotalNS,1756310061758000000,1756310121565000000,6267616642
WriteAction.executionsCount,1756310061758000000,1756310121565000000,23
AWTEventQueue.dispatchTimeMaxNs,1756310061758000000,1756310121565000000,0
NonBlockingReadAction.failedExecutionTimeUs,1756310061758000000,1756310121565000000,1778069
FlushQueue.executionTime90PNs,1756310061758000000,1756310121565000000,0
FlushQueue.waitingTimeMaxNs,1756310061758000000,1756310121565000000,0
ReadAction.executionsCount,1756310061758000000,1756310121565000000,15249
AWTEventQueue.eventsDispatched,1756310061758000000,1756310121565000000,0
AWTEventQueue.dispatchTimeAvgNs,1756310061758000000,1756310121565000000,0.0
FlushQueue.executionTimeAvgNs,1756310061758000000,1756310121565000000,0.0
NonBlockingReadAction.failedExecutionsCount,1756310061758000000,1756310121565000000,3
FlushQueue.executionTimeMaxNs,1756310061758000000,1756310121565000000,0
FlushQueue.waitingTime90PNs,1756310061758000000,1756310121565000000,0
FlushQueue.queueSizeMax,1756310061758000000,1756310121565000000,0
