# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalDirectByteBuffersBytes,1756310017108000000,1756310075499000000,366253093
JVM.totalTimeToSafepointsMs,1756310017108000000,1756310075499000000,640
JVM.usedNativeBytes,1756310017108000000,1756310075499000000,222246912
JVM.totalTimeAtSafepointsMs,1756310017108000000,1756310075499000000,1280
JVM.totalSafepointCount,1756310017108000000,1756310075499000000,122
JVM.maxHeapBytes,1756310017108000000,1756310075499000000,5800722432
JVM.totalCpuTimeMs,1756310017108000000,1756310075499000000,72150
OS.loadAverage,1756310017108000000,1756310075499000000,8.78173828125
MEM.ramPlusSwapMinusFileMappingsBytes,1756310017108000000,1756310075499000000,1377480704
JVM.GC.collections,1756310017108000000,1756310075499000000,30
JVM.newThreadsCount,1756310017108000000,1756310075499000000,116
JVM.threadCount,1756310017108000000,1756310075499000000,100
JVM.GC.collectionTimesMs,1756310017108000000,1756310075499000000,1078
JVM.committedHeapBytes,1756310017108000000,1756310075499000000,654311424
MEM.fileMappingsRamBytes,1756310017108000000,1756310075499000000,359464960
JVM.maxThreadCount,1756310017108000000,1756310075499000000,100
JVM.totalBytesAllocated,1756310017108000000,1756310075499000000,1179414920
MEM.ramBytes,1756310017108000000,1756310075499000000,1736945664
MEM.ramMinusFileMappingsBytes,1756310017108000000,1756310075499000000,1377480704
JVM.usedHeapBytes,1756310017108000000,1756310075499000000,271223784
cacheStateStorage.set.counter,1756310017108000000,1756310075499000000,2
cacheStateStorage.set.duration,1756310017108000000,1756310075499000000,79
cacheStateStorage.get.counter,1756310017108000000,1756310075499000000,11
cacheStateStorage.get.duration,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.instances.count,1756310017108000000,1756310075499000000,1
workspaceModel.on.changed.ms,1756310017108000000,1756310075499000000,284
workspaceModel.cachedValueWithParameters.from.cache.count,1756310017108000000,1756310075499000000,0
workspaceModel.cachedValueWithParameters.clear.count,1756310017108000000,1756310075499000000,0
workspaceModel.loading.total.ms,1756310017108000000,1756310075499000000,397
workspaceModel.full.replace.project.model.ms,1756310017108000000,1756310075499000000,324
workspaceModel.cachedValue.clear.count,1756310017108000000,1756310075499000000,0
workspaceModel.check.recursive.update.ms,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1756310017108000000,1756310075499000000,79
workspaceModel.cachedValue.total.get.count,1756310017108000000,1756310075499000000,56
workspaceModel.entityStorageSnapshotImpl.instances.count,1756310017108000000,1756310075499000000,28
workspaceModel.cachedValue.from.cache.count,1756310017108000000,1756310075499000000,37
workspaceModel.workspaceFileIndexData.processFileSets.ms,1756310017108000000,1756310075499000000,0
workspaceModel.updates.ms,1756310017108000000,1756310075499000000,278
workspaceModel.collect.changes.ms,1756310017108000000,1756310075499000000,0
workspaceModel.update.unloaded.entities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.updates.precise.ms,1756310017108000000,1756310075499000000,18
workspaceModel.cachedValueWithParameters.calculated.count,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1756310017108000000,1756310075499000000,0
workspaceModel.pre.handlers.ms,1756310017108000000,1756310075499000000,3
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1756310017108000000,1756310075499000000,542
workspaceModel.updates.count,1756310017108000000,1756310075499000000,7
workspaceModel.loading.from.cache.ms,1756310017108000000,1756310075499000000,380
workspaceModel.init.bridges.ms,1756310017108000000,1756310075499000000,6
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.init.ms,1756310017108000000,1756310075499000000,35
workspaceModel.on.before.changed.ms,1756310017108000000,1756310075499000000,234
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1756310017108000000,1756310075499000000,51
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1756310017108000000,1756310075499000000,23
workspaceModel.cachedValue.calculated.count,1756310017108000000,1756310075499000000,19
workspaceModel.to.snapshot.ms,1756310017108000000,1756310075499000000,1
workspaceModel.replace.project.model.ms,1756310017108000000,1756310075499000000,0
workspaceModel.initializing.ms,1756310017108000000,1756310075499000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1756310017108000000,1756310075499000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsReadDecompressed,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsRead,1756310017108000000,1756310075499000000,0
VFS.fileByIdCache.misses,1756310017108000000,1756310075499000000,0
VFS.fileChildByName,1756310017108000000,1756310075499000000,8042
FileNameCache.totalMisses,1756310017108000000,1756310075499000000,0
VFS.invertedFileNameIndex.requests,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsStored,1756310017108000000,1756310075499000000,76
VFS.fileByIdCache.hits,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsReadSize,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1756310017108000000,1756310075499000000,0
VFS.contentStorage.recordsStoredSize,1756310017108000000,1756310075499000000,1541773
VFS.folderCaseSensitivityReads,1756310017108000000,1756310075499000000,726
VFS.contentStorage.recordsUncompressedSize,1756310017108000000,1756310075499000000,2966362
VFS.contentStorage.recordsStoredCompressed,1756310017108000000,1756310075499000000,37
FileNameCache.queries,1756310017108000000,1756310075499000000,69376
VFS.contentStorage.recordsDeduplicated,1756310017108000000,1756310075499000000,12
Indexing.writer_1.totalTimeSpentWritingMs,1756310017108000000,1756310075499000000,0
Indexing.writesQueuedMin,1756310017108000000,1756310075499000000,0
Indexing.cache.totalCacheEvicted,1756310017108000000,1756310075499000000,0
Indexing.cache.totalCacheMisses,1756310017108000000,1756310075499000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1756310017108000000,1756310075499000000,0
Indexing.writesQueuedAvg,1756310017108000000,1756310075499000000,0.0
Indexing.totalTimeIndexersSleptMs,1756310017108000000,1756310075499000000,0
Indexing.cache.totalCacheAccesses,1756310017108000000,1756310075499000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1756310017108000000,1756310075499000000,0
Indexing.writesQueuedMax,1756310017108000000,1756310075499000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1756310017108000000,1756310075499000000,0
writeAction.count,1756310017108000000,1756310075499000000,22
DiskQueryRelay.taskExecutionTotalTimeUs,1756310017108000000,1756310075499000000,23658105
writeAction.max.wait.ms,1756310017108000000,1756310075499000000,1939
parser.JSON.size.bytes,1756310017108000000,1756310075499000000,3203
parser.JSON.time.ns,1756310017108000000,1756310075499000000,171134288
writeAction.median.wait.ms,1756310017108000000,1756310075499000000,2300
lexer.JSON.size.bytes,1756310017108000000,1756310075499000000,3203
writeAction.wait.ms,1756310017108000000,1756310075499000000,2458
DiskQueryRelay.tasksRequested,1756310017108000000,1756310075499000000,1332
DiskQueryRelay.taskWaitingTotalTimeUs,1756310017108000000,1756310075499000000,23859319
lexer.JSON.time.ns,1756310017108000000,1756310075499000000,2573050
DiskQueryRelay.tasksExecuted,1756310017108000000,1756310075499000000,1332
NonBlockingReadAction.finalizedExecutionsCount,1756310017108000000,1756310075499000000,9
FlushQueue.executionTime90PNs,1756310017108000000,1756310075499000000,48234495
FlushQueue.waitingTimeAvgNs,1756310017108000000,1756310075499000000,4.337689520522876E8
FlushQueue.executionTimeMaxNs,1756310017108000000,1756310075499000000,1476395007
FlushQueue.tasksExecuted,1756310017108000000,1756310075499000000,153
WriteAction.executionsCount,1756310017108000000,1756310075499000000,22
NonBlockingReadAction.finalizedExecutionTimeUs,1756310017108000000,1756310075499000000,1187123
ReadAction.executionsCount,1756310017108000000,1756310075499000000,17182
FlushQueue.queueSizeAvg,1756310017108000000,1756310075499000000,3.9084967320261437
