# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsStoredCompressed,1756306116372000000,1756306175424000000,345
VFS.contentStorage.recordsReadDecompressed,1756306116372000000,1756306175424000000,21
VFS.fileByIdCache.misses,1756306116372000000,1756306175424000000,7475
FileNameCache.totalMisses,1756306116372000000,1756306175424000000,0
VFS.folderCaseSensitivityReads,1756306116372000000,1756306175424000000,747
FileNameCache.queries,1756306116372000000,1756306175424000000,115520
VFS.contentStorage.recordsRead,1756306116372000000,1756306175424000000,111
VFS.contentStorage.recordsDeduplicated,1756306116372000000,1756306175424000000,43
VFS.contentStorage.recordsUncompressedSize,1756306116372000000,1756306175424000000,18861484
VFS.contentStorage.recordsReadSize,1756306116372000000,1756306175424000000,2047710
VFS.contentStorage.recordsStored,1756306116372000000,1756306175424000000,778
VFS.fileByIdCache.hits,1756306116372000000,1756306175424000000,109
VFS.contentStorage.recordsStoredSize,1756306116372000000,1756306175424000000,6068298
VFS.invertedFileNameIndex.requests,1756306116372000000,1756306175424000000,2
VFS.fileChildByName,1756306116372000000,1756306175424000000,372445
VFS.contentStorage.recordsDecompressionTimeUs,1756306116372000000,1756306175424000000,23779
cacheStateStorage.get.duration,1756306116372000000,1756306175424000000,0
cacheStateStorage.set.counter,1756306116372000000,1756306175424000000,19
cacheStateStorage.set.duration,1756306116372000000,1756306175424000000,90
cacheStateStorage.get.counter,1756306116372000000,1756306175424000000,11
MappedFileStorage.storages,1756306116372000000,1756306175424000000,16
MappedFileStorage.totalTimeSpentOnMappingUs,1756306116372000000,1756306175424000000,461860
DirectByteBufferAllocator.disposed,1756306116372000000,1756306175424000000,0
DirectByteBufferAllocator.misses,1756306116372000000,1756306175424000000,489
StreamlinedBlobStorage.recordsRelocated,1756306116372000000,1756306175424000000,0
FilePageCache.totalPageDisposalsUs,1756306116372000000,1756306175424000000,4406
FilePageCache.disposedBuffers,1756306116372000000,1756306175424000000,3
FilePageCache.maxCacheSizeInBytes,1756306116372000000,1756306175424000000,512753664
StorageLockContext.competingThreads.avg,1756306116372000000,1756306175424000000,0.0
StorageLockContext.competingThreads.max,1756306116372000000,1756306175424000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1756306116372000000,1756306175424000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1756306116372000000,1756306175424000000,221402
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1756306116372000000,1756306175424000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1756306116372000000,1756306175424000000,0
FilePageCache.pageHits,1756306116372000000,1756306175424000000,0
MappedFileStorage.totalPagesMapped,1756306116372000000,1756306175424000000,16
MappedFileStorage.totalBytesMapped,1756306116372000000,1756306175424000000,202637312
FilePageCache.capacityInBytes,1756306116372000000,1756306175424000000,629145600
FilePageCache.maxRegisteredFiles,1756306116372000000,1756306175424000000,945
FilePageCache.pageFastCacheHits,1756306116372000000,1756306175424000000,332959
StreamlinedBlobStorage.recordsDeleted,1756306116372000000,1756306175424000000,17
StorageLockContext.competingThreads.90P,1756306116372000000,1756306175424000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1756306116372000000,1756306175424000000,512753664
DirectByteBufferAllocator.reclaimed,1756306116372000000,1756306175424000000,3
FilePageCache.uncachedFileAccess,1756306116372000000,1756306175424000000,831
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1756306116372000000,1756306175424000000,130993
DirectByteBufferAllocator.hits,1756306116372000000,1756306175424000000,3
StreamlinedBlobStorage.recordsAllocated,1756306116372000000,1756306175424000000,1219
FilePageCache.pageLoads,1756306116372000000,1756306175424000000,492
FilePageCache.totalPageLoadsUs,1756306116372000000,1756306175424000000,2025667
Indexes.stubs.lookupDurationMaxMs,1756306116372000000,1756306175424000000,1.0
Indexes.stubs.lookupDurationAvgMs,1756306116372000000,1756306175424000000,0.05263157894736842
Indexes.allKeys.lookupDuration90PMs,1756306116372000000,1756306175424000000,0.0
Indexing.writesQueuedMax,1756306116372000000,1756306175424000000,0
Indexes.allKeys.lookupDurationMaxMs,1756306116372000000,1756306175424000000,0.0
Indexes.allKeys.lookups,1756306116372000000,1756306175424000000,2
Indexing.cache.totalCacheMisses,1756306116372000000,1756306175424000000,157480
Indexing.writer_2.totalTimeSpentWritingMs,1756306116372000000,1756306175424000000,450
Indexes.stubs.lookups,1756306116372000000,1756306175424000000,8274
Indexes.entries.lookupDuration90PMs,1756306116372000000,1756306175424000000,0.0
Indexes.stubs.lookupDuration90PMs,1756306116372000000,1756306175424000000,0.0
Indexing.cache.totalCacheEvicted,1756306116372000000,1756306175424000000,154460
Indexing.totalTimeIndexersSleptMs,1756306116372000000,1756306175424000000,0
Indexing.writesQueuedMin,1756306116372000000,1756306175424000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1756306116372000000,1756306175424000000,1012
Indexing.cache.totalCacheAccesses,1756306116372000000,1756306175424000000,1551324
Indexes.allKeys.lookupDurationAvgMs,1756306116372000000,1756306175424000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1756306116372000000,1756306175424000000,700
Indexes.entries.lookupDurationMaxMs,1756306116372000000,1756306175424000000,0.0
Indexes.entries.lookupDurationAvgMs,1756306116372000000,1756306175424000000,0.0
Indexes.entries.lookups,1756306116372000000,1756306175424000000,1439
Indexing.writer_0.totalTimeSpentWritingMs,1756306116372000000,1756306175424000000,1015
lexer.IgnoreLang.time.ns,1756306116372000000,1756306175424000000,250031
parser.CSS.time.ns,1756306116372000000,1756306175424000000,538636899
lexer.JQuery-CSS.time.ns,1756306116372000000,1756306175424000000,474989
lexer.JSRegexp.size.bytes,1756306116372000000,1756306175424000000,21
lexer.RELAX-NG.size.bytes,1756306116372000000,1756306175424000000,117
lexer.yaml.time.ns,1756306116372000000,1756306175424000000,507398
parser.CSS.size.bytes,1756306116372000000,1756306175424000000,1721922
lexer.TypeScript.JSX.size.bytes,1756306116372000000,1756306175424000000,366125
lexer.textmate.time.ns,1756306116372000000,1756306175424000000,35723
lexer.RELAX-NG.time.ns,1756306116372000000,1756306175424000000,2240071
parser.RELAX-NG.time.ns,1756306116372000000,1756306175424000000,4559982
parser.SCSS.size.bytes,1756306116372000000,1756306175424000000,21698
lexer.CSS.size.bytes,1756306116372000000,1756306175424000000,1721922
lexer.Flow.JS.time.ns,1756306116372000000,1756306175424000000,37401499
lexer.SCSS.time.ns,1756306116372000000,1756306175424000000,5212197
lexer.JSRegexp.time.ns,1756306116372000000,1756306175424000000,330584
parser.ECMAScript.6.time.ns,1756306116372000000,1756306175424000000,840128642
parser.ECMAScript.6.size.bytes,1756306116372000000,1756306175424000000,3597223
parser.GenericSQL.time.ns,1756306116372000000,1756306175424000000,1530019125
writeAction.median.wait.ms,1756306116372000000,1756306175424000000,300
writeAction.wait.ms,1756306116372000000,1756306175424000000,426
parser.TypeScript.size.bytes,1756306116372000000,1756306175424000000,3535407
writeAction.max.wait.ms,1756306116372000000,1756306175424000000,313
lexer.textmate.size.bytes,1756306116372000000,1756306175424000000,160067
